,index,source_id,hip,tycho2_id,solution_id,source_id_2,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_good_obs_ac,astrometric_n_bad_obs_al,astrometric_n_bad_obs_ac,astrometric_delta_q,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_primary_flag,astrometric_relegation_factor,astrometric_weight_al,astrometric_weight_ac,astrometric_priors_used,matched_observations,duplicated_source,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_variable_flag,l,b,ecl_lon,ecl_lat
42,42.0,5.28134604928503e+16,19789.0,,1.6353784107819336e+18,5.28134604928503e+16,1627388.0,2015.0,63.6271623234267,0.7108268945831318,22.451732963024078,0.3200713752580724,15.647209062081343,0.7336051371470456,92.69139228615833,0.04343957553748353,-32.494933203657716,0.023306037182183725,-0.08082956,0.14181523,0.6832415,-0.048079263,-0.3130171,-0.0622897,0.5592189,0.09848022,-0.17866385,0.221833,107.0,107.0,107.0,106.0,0.0,1.0,68.056984,2.007578888657781,2265.2909386021533,True,19.483252,0.24768737,1.1874462e-05,3.0,14.0,False,0.23929639,0.68152434,0.34100658,0.23402216,-142.56496,1.2572627,-52.809345,5.168891,119.0,27537750.820453536,11595.02760466173,6.924948899252119,b'NOT_AVAILABLE',172.6636377733206,-20.247676851751375,65.75554538974542,1.2048170424809328
43,43.0,1.05848953613888e+16,15304.0,,1.6353784107819336e+18,1.05848953613888e+16,2017762.0,2015.0,49.36064229715664,0.2766287792850407,7.655784772291183,0.1789084413241924,21.601923338623777,0.2691044326312918,166.44064564602843,0.0672061870581675,-6.2611876268995905,0.04408899631877371,-0.32819057,0.32503253,0.14222844,-0.07911038,-0.38197073,-0.069392554,0.14017971,0.036993098,-0.095401034,0.1875407,63.0,63.0,63.0,58.0,0.0,5.0,7.166057,0.50934928447817,64.70995280747569,True,5.036908,3.7237866,9.763349e-06,3.0,8.0,True,0.30187765,0.47633535,0.322695,0.790466,-79.811035,13.055018,-45.394012,26.281252,68.0,20900302.412646595,11775.117519384248,7.224388638611526,b'NOT_AVAILABLE',173.67221244208613,-40.412687818997895,49.0169216267765,-10.190645036158463
44,44.0,1.060856922315776e+16,15310.0,,1.6353784107819336e+18,1.060856922315776e+16,831703.0,2015.0,49.38729357258677,0.19631366245973192,7.690128094748176,0.1737853060801005,21.360152600355804,0.24445429707791133,168.89685942377577,0.10850004951598177,-6.37387786808098,0.06784477648402648,0.09161626,-0.022081248,-0.080417015,-0.07621559,-0.44604334,-0.031812828,-0.014497566,-0.11953677,-0.11040074,0.13317947,70.0,70.0,70.0,67.0,0.0,3.0,1.8182782,0.387499121088909,62.90058270605746,True,3.8865168,5.9169784,7.0767132e-06,3.0,8.0,False,0.2831758,0.22871897,0.44205266,0.7779248,-98.06198,-15.609457,-39.41659,30.237246,64.0,15239068.421967026,10499.466303129888,7.567374016338977,b'NOT_AVAILABLE',173.6657847899948,-40.36963987568323,49.05199239368842,-10.164462301047427
45,45.0,6.426676388217165e+16,16908.0,,1.6353784107819336e+18,6.426676388217165e+16,1367550.0,2015.0,54.39635265969316,0.2510268313458279,21.343067138164482,0.1579958385164235,21.652491446226392,0.3277815762876316,140.79722815159894,0.10605673106633569,-26.313640461927918,0.04905670845089943,-0.06953719,0.46129563,-0.003930207,-0.08985292,-0.5166546,-0.039493512,0.082094684,-0.0013762186,-0.13223319,0.1399662,88.0,88.0,84.0,88.0,4.0,0.0,4.1947355,0.575133297112631,234.3477877162294,True,5.6632137,2.877796,1.9737405e-05,3.0,15.0,False,0.42318928,0.49213746,0.5514362,0.23605292,-66.50343,-10.084187,-39.732372,27.452097,124.0,3997830.979229176,4227.142137405116,9.020208991298613,b'NOT_AVAILABLE',166.8312944739976,-27.03520670406413,57.143448890305805,1.8728477247619562
46,46.0,6.80000181743296e+16,16529.0,,1.6353784107819336e+18,6.80000181743296e+16,376081.0,2015.0,53.209400100361044,0.24070502904981186,23.69202278813861,0.11711894290873236,23.794574352802904,0.26015890835958266,162.21488395060084,0.08423532360672241,-39.41312403314764,0.04264510117272399,-0.097836725,-0.7281981,0.008704178,0.031663444,0.1563707,-0.035133544,-0.05726845,-0.17931917,-0.07967623,0.24710575,43.0,43.0,43.0,43.0,0.0,0.0,1.7555178,0.2634748458472558,35.80738352763325,True,2.7424338,12.4453,1.4428171e-05,3.0,7.0,False,0.49012414,0.33633205,0.27096084,0.7717806,149.33669,1.9176867,4.575977,29.412931,60.0,6063796.299951025,3071.885337090661,8.567908554614451,b'NOT_AVAILABLE',164.19126452115574,-25.968397556088373,56.629705786986385,4.413805265614845
47,47.0,1.1823450542431936e+17,15300.0,,1.6353784107819336e+18,1.1823450542431936e+17,1317789.0,2015.0,49.34613264065104,0.2322474249788792,26.314825175093564,0.17361732201325228,26.382222686509913,0.2525668306106965,186.38819663373386,0.28099665279506475,-49.08068748093644,0.2019743690318096,0.16419584,0.21171041,-0.36229962,-0.0976299,-0.06928258,-0.05508706,-0.31396508,-0.28858778,-0.09807618,0.15916644,97.0,97.0,97.0,96.0,0.0,1.0,1.4385115,0.5223141265869305,360.3490519490044,True,5.1601233,3.2920713,3.0745174e-05,3.0,15.0,False,0.12633981,0.31031275,0.19680376,0.6224086,-71.3723,-15.324524,-44.091553,30.366247,131.0,1081570.1829417308,1137.3115039486433,10.439633298842494,b'NOT_AVAILABLE',159.3247632356417,-26.056451525745498,53.88062326027917,7.8290646176153915
48,48.0,1.4669807832890406e+17,21741.0,,1.6353784107819336e+18,1.4669807832890406e+17,1900130.0,2015.0,70.02469061238686,0.19127694977720802,23.304385826653558,0.154604130201306,16.913123476981767,0.2256721068278743,75.66019713045581,0.1540267753892106,-38.49407774729638,0.0944964308098198,-0.3037928,0.14430611,-0.16970152,-0.06107929,-0.6123997,0.024658442,-0.004782478,-0.06371105,-0.08054568,0.10549196,82.0,82.0,80.0,77.0,2.0,5.0,4.1556354,0.2683163598397909,96.20021089069823,True,2.7861798,12.336286,2.3264847e-05,3.0,10.0,False,0.35933676,0.49759915,0.54580104,0.6537993,-97.25815,18.312052,-33.569096,35.585575,81.0,3691314.8585267332,1997.16564305792,9.10681733673005,b'NOT_AVAILABLE',176.04304827501753,-15.23649687563038,71.7113082851435,1.124420201610452
49,49.0,1.2535532068322829e+17,14976.0,,1.6353784107819336e+18,1.2535532068322829e+17,258013.0,2015.0,48.262555747822624,0.21031985770874584,32.896191018735095,0.13979842249769578,25.6402369957904,0.23201409447333085,184.6010348989071,0.09770197715866295,-61.781407554661314,0.07299614420316038,-0.51488256,0.6046337,-0.0041146223,-0.11764334,-0.5953144,-0.05751653,0.0012416452,0.012808078,-0.12598136,-0.027391238,89.0,89.0,89.0,89.0,0.0,0.0,1.2367136,0.2723544444432225,35.38216781722656,True,1.448883,11.062153,6.2322383e-06,3.0,13.0,False,0.32259578,0.48205605,0.5040069,0.77353954,-108.06211,16.48705,-47.097553,25.708057,112.0,10883290.457515275,21118.99594015582,7.932869513970584,b'NOT_AVAILABLE',154.3787100950055,-21.18959690994835,54.74871508819653,14.422652082478406
50,50.0,1.1765465048041574e+17,15720.0,,1.6353784107819336e+18,1.1765465048041574e+17,2037115.0,2015.0,50.61828376690558,0.2255519883461843,27.155784761597435,0.16883735218788717,31.777050423781333,0.25964227394574046,220.7945326011597,0.20261197835155098,-64.45629197760063,0.14789120815201365,0.11621701,-0.07807488,-0.19637595,-0.044655588,-0.38988605,0.016769698,-0.21691121,-0.14993554,0.004787716,0.13707918,106.0,106.0,105.0,104.0,1.0,2.0,0.07288844,0.5397895520031532,188.41832289072613,True,5.3263865,3.036899,1.9721738e-05,3.0,17.0,False,0.26876107,0.3687282,0.3863458,0.5572278,-137.21454,-8.604741,-38.709335,29.047422,150.0,1325450.7879177765,732.7497844338898,10.218861044743793,b'NOT_AVAILABLE',159.7825950777266,-24.70481759132661,55.20866135046043,8.347953377094841
51,51.0,1.471821726831877e+17,22394.0,,1.6353784107819336e+18,1.471821726831877e+17,1858403.0,2015.0,72.30449704882314,0.2216023825042852,24.80261972906344,0.2170239126656604,20.46616322232578,0.3112677783091804,84.70295744428492,0.10407932844417157,-52.916632104717515,0.07043921717107349,-0.19804728,0.08020555,0.04066865,0.027259737,-0.70706713,0.0002508145,0.08238039,0.03939246,-0.052126326,0.064395905,77.0,77.0,76.0,76.0,1.0,1.0,0.45095855,0.5584799156191073,515.1640482480792,True,5.5044184,2.9655821,2.4346857e-05,3.0,9.0,False,0.45599788,0.43818074,0.6887672,0.6899492,-104.632774,17.29221,-33.064518,37.515873,73.0,3599937.9874445423,11252.199951748953,9.134032514660241,b'NOT_AVAILABLE',176.18009279055835,-12.675132442298956,73.96936784300003,2.3427385345230696
