designation,ra,dec,parallax,pmra,pmdec,radial_velocity,bp_rp,phot_g_mean_mag,in_dr2,in_meingast,in_roser,mean_pmem,fit_group
Gaia DR2 93316174620198656,32.378510,19.687787,28.333383,249.519707,-5.847983,,4.000,16.635,,,True,0.9996,tails
Gaia DR2 99485190766206464,32.808125,20.972806,30.362809,262.202015,-12.203550,,3.199,14.643,,,True,0.9997,tails
Gaia DR2 331611611723173760,35.107178,37.791560,40.607470,342.369769,-69.852204,,2.446,11.589,,,True,0.9989,tails
Gaia DR2 328643239565641856,36.411733,37.542466,34.572243,286.514809,-66.141726,,2.798,12.647,,,True,0.9996,tails
Gaia DR2 102644190752380928,36.449153,24.589838,25.794041,216.395654,-24.039022,,3.142,14.624,,,True,0.9996,tails
Gaia DR2 341435778180966528,36.861894,44.414485,18.285584,151.494007,-43.736994,,3.070,15.111,,,True,0.9995,tails
Gaia DR2 340414641116009984,38.274987,43.601841,19.921134,163.278030,-51.390620,,3.745,16.878,,,True,0.9996,tails
Gaia DR2 327351657000000128,38.624251,36.219488,26.870504,214.917716,-56.846706,,3.777,16.162,,,True,0.9959,tails
Gaia DR2 335471859608962304,38.764473,41.078046,21.863285,178.640715,-55.084679,,3.005,14.529,,,True,0.9993,tails
Gaia DR2 2495442626804315392,39.175404,-3.155886,41.085641,323.013349,58.384031,21.892,1.122,7.843,,,True,0.9986,tails
Gaia DR2 333352997622849792,39.228602,36.514850,16.629452,136.397550,-34.302201,,3.096,15.479,,,True,0.9997,tails
Gaia DR2 334347918207101440,40.290504,39.602993,19.864605,163.431934,-49.650612,,3.017,14.819,,,True,0.9995,tails
Gaia DR2 438763211739771008,42.206298,49.699836,21.212271,166.885429,-73.476414,,2.620,13.388,,,True,0.9997,tails
Gaia DR2 108421402801188864,44.526856,20.667039,30.589605,238.118473,-24.482039,,2.755,13.473,,,True,0.9969,tails
Gaia DR2 109850424320397440,44.566537,22.482067,19.179325,128.597224,-21.160925,,3.062,15.213,,,True,0.0000,tails
Gaia DR2 142132596813836160,45.452275,37.555337,22.743689,173.536658,-62.078700,,2.928,14.358,,,True,0.9997,tails
Gaia DR2 60040176760223744,45.541589,19.520381,31.275918,236.661198,-29.065939,,2.579,12.539,,,True,0.9997,tails
Gaia DR2 441010854026719232,45.632473,52.686493,18.406871,138.888204,-74.633672,,3.087,15.138,,,True,0.9997,tails
Gaia DR2 5152365363828101632,45.660389,-18.165615,52.438339,404.000369,164.970228,33.817,2.372,10.757,,,True,0.9994,tails
Gaia DR2 3266760032372995072,46.009672,0.764360,33.721700,251.978467,33.963763,,3.765,15.543,,,True,0.9993,tails
Gaia DR2 60096629810337024,46.399265,19.568504,21.799920,167.284364,-18.389070,,2.784,13.686,,,True,0.9992,tails
Gaia DR2 34762198279394048,46.412355,16.976051,23.941213,179.122102,-14.288481,,3.704,16.495,,,True,0.9997,tails
Gaia DR2 27821118811895808,46.563574,12.098488,29.676252,225.114641,-5.225894,,3.251,14.602,,,True,0.9996,tails
Gaia DR2 34772746719056128,46.610114,17.224703,27.705781,204.106189,-21.758814,,2.935,13.996,,,True,0.9988,tails
Gaia DR2 110348743606461312,47.986097,22.302140,31.158839,228.546336,-42.396713,,3.340,14.960,,,True,0.9997,tails
Gaia DR2 125343608307015296,48.265946,32.897042,25.395966,186.247861,-65.603572,,2.655,12.856,,,True,0.9993,tails
Gaia DR2 123755191963853056,48.481600,32.097110,19.824124,145.716802,-45.814582,,2.900,14.472,,,True,0.9995,tails
Gaia DR2 139257717503546368,48.908857,37.403590,28.541218,208.710212,-84.442090,,2.538,12.046,,,True,0.9995,tails
Gaia DR2 118234509720825728,49.345920,26.315689,26.397391,193.627947,-48.076707,,2.561,12.430,,,True,0.9995,tails
Gaia DR2 118234509720825856,49.346162,26.314818,26.419442,186.152498,-48.498166,,1.783,10.569,,,True,0.9994,tails
Gaia DR2 124229390712607872,49.574696,31.553070,19.099131,136.953554,-41.675539,,3.289,15.927,,,True,0.9950,tails
Gaia DR2 222459037983904256,52.742561,36.421394,19.527473,131.685599,-60.853181,,3.116,15.110,,,True,0.9997,tails
Gaia DR2 220697311118463104,53.321222,33.125695,22.898532,154.635472,-67.028477,,2.854,14.127,,,True,0.9995,tails
Gaia DR2 13434421479476352,53.929820,11.556108,26.139480,166.067058,-8.811349,,2.499,12.370,,,True,0.9807,tails
Gaia DR2 64540958889723008,54.083625,22.061332,15.937038,93.033805,-20.702432,,2.918,15.220,,,True,0.0000,tails
Gaia DR2 64266768177592448,54.396373,21.343063,21.799108,136.870467,-27.213715,31.473,1.129,9.101,,,True,0.9390,tails
Gaia DR2 37414254686537344,55.633465,12.272872,30.307502,196.951291,-9.135324,,2.946,13.242,,,True,0.9995,tails
Gaia DR2 42947680095257344,56.749149,15.404583,35.274509,219.558402,-27.131739,,3.140,13.963,,,True,0.9996,tails
Gaia DR2 51154679700663552,57.976308,20.277963,13.913897,74.663327,-15.979821,30.038,2.133,13.025,,,True,0.0000,tails
Gaia DR2 51154679700662784,57.978024,20.278697,13.868220,73.032279,-14.855095,,2.722,15.063,,,True,0.0000,tails
Gaia DR2 230876143094206208,57.987215,41.204261,23.685758,145.737853,-96.322277,,3.412,15.822,,,True,0.9997,tails
Gaia DR2 220132711900103168,58.903991,35.981391,18.699061,112.433149,-67.736893,,2.538,13.326,,,True,0.9994,tails
Gaia DR2 51730755074345088,58.904847,21.313143,34.687426,206.092450,-60.474144,,3.802,15.706,,,True,0.9995,tails
Gaia DR2 3256559313247203200,59.005616,-0.653193,30.055836,177.838064,39.748125,,2.467,12.213,,,True,0.9996,tails
Gaia DR2 38453464973610496,59.649610,13.104995,16.299941,81.370509,-6.863990,23.172,0.873,8.840,,,True,0.0000,tails
Gaia DR2 53428401027681920,59.966458,22.603585,16.169782,104.921876,-32.722226,,2.545,13.754,,,True,0.3470,tails
Gaia DR2 226855435229242496,60.353689,39.881576,19.155967,109.558226,-79.108375,,2.152,11.698,,,True,0.9991,tails
Gaia DR2 3196663932720748800,60.616116,-7.157730,23.352235,138.204652,53.150229,,3.172,15.028,,,True,0.9996,tails
Gaia DR2 3253190890656530048,60.822252,-1.821517,25.628247,146.540564,38.535529,,3.188,14.846,,,True,0.9996,tails
Gaia DR2 227249541428820608,60.891546,40.361654,20.590095,119.050690,-86.029203,,2.879,14.010,,,True,0.9997,tails
Gaia DR2 227152887485112576,61.241884,39.601793,19.835399,113.098955,-81.154644,,3.285,15.910,,,True,0.9997,tails
Gaia DR2 3252926767347751424,61.379967,-2.273596,24.820532,143.158293,40.236368,,1.678,9.762,,,True,0.9996,tails
Gaia DR2 52040233236358784,62.641023,20.860795,15.120985,88.739780,-27.444161,39.545,1.995,12.374,,,True,0.9943,tails
Gaia DR2 163152549013270400,63.724140,27.757245,44.124138,231.766183,-120.609859,,2.580,11.562,,,True,0.9997,tails
Gaia DR2 3189577958236917632,63.780271,-11.537417,22.818452,107.153628,56.664594,34.421,1.857,10.955,,,True,0.0000,tails
Gaia DR2 233866333687097344,63.989099,46.726121,28.538263,140.470526,-126.622976,,3.116,14.767,,,True,0.0044,tails
Gaia DR2 3203395830100882432,64.345518,-4.530917,21.095224,113.077166,39.637270,,2.886,14.400,,,True,0.9998,tails
Gaia DR2 233813071794162304,65.071806,46.609753,20.098641,87.548597,-90.568139,39.096,2.005,12.223,,,True,0.0000,tails
Gaia DR2 233812869934508800,65.081612,46.600307,20.148827,87.724025,-91.054202,38.905,2.238,12.990,,,True,0.0000,tails
Gaia DR2 179151955025176832,66.077456,38.426333,21.301830,107.874690,-91.694093,,3.198,15.400,,,True,0.9997,tails
Gaia DR2 3191902806854501760,66.417026,-8.685204,29.924845,150.366038,75.311251,,3.525,15.435,,,True,0.9997,tails
Gaia DR2 3206232054703793792,67.717596,-1.212917,27.245075,129.566370,36.090109,,3.211,14.706,,,True,0.9997,tails
Gaia DR2 3206196561094104704,68.506069,-1.191198,22.693345,106.564501,32.125844,,2.707,13.157,,,True,0.9997,tails
Gaia DR2 3410466133403330944,69.128745,19.090703,16.105797,81.738608,-31.210271,,2.715,13.975,,,True,0.6522,tails
Gaia DR2 151650935831913216,69.188167,27.163673,57.488056,227.512217,-148.427579,,0.906,15.625,,,True,0.0077,tails
Gaia DR2 151650076838458112,69.202132,27.131556,57.104642,232.872689,-148.136124,41.629,1.375,7.718,,,True,0.4365,tails
Gaia DR2 3174811998112416768,69.936212,-13.249963,18.873011,86.244596,58.742917,,2.724,13.883,,,True,0.9996,tails
Gaia DR2 173708994511121536,70.022591,34.067294,17.971630,81.780644,-69.517948,,3.300,16.016,,,True,0.9996,tails
Gaia DR2 3201138738887221632,70.105459,-4.622083,15.032139,65.101480,30.766874,,3.733,17.319,,,True,0.9931,tails
Gaia DR2 3295637159089219200,71.507543,11.705552,15.360107,66.554341,-8.675619,,0.240,5.298,,,True,0.9997,tails
Gaia DR2 3405096702730472320,71.777065,15.728192,16.572550,62.331643,-20.563966,39.872,1.044,9.789,,,True,0.0312,tails
Gaia DR2 3225707291850416512,71.814349,-3.394402,21.970517,91.093029,37.536394,,3.484,16.099,,,True,0.9997,tails
Gaia DR2 254769286680229888,72.019344,46.484959,17.676626,69.917737,-96.442155,,2.926,15.334,,,True,0.9978,tails
Gaia DR2 4893986285991525120,72.636731,-24.222900,27.974766,112.066129,125.781268,,2.975,14.221,,,True,0.9956,tails
Gaia DR2 3224589191603747840,73.420809,-4.475835,19.708506,79.432789,38.242906,,3.156,15.463,,,True,0.9998,tails
Gaia DR2 3411910578149733504,73.430713,21.055720,13.006979,39.383789,-22.742320,45.118,1.846,12.603,,,True,0.0000,tails
Gaia DR2 3411727788638518144,73.723003,20.869294,15.010601,58.773638,-30.480841,,3.491,16.954,,,True,0.9997,tails
Gaia DR2 3405394739101039232,74.443779,16.472226,15.157741,57.907527,-20.208438,,2.835,14.448,,,True,0.9996,tails
Gaia DR2 2987438036870254464,74.560607,-14.342068,24.877289,95.265545,87.200632,,3.471,15.741,,,True,0.9997,tails
Gaia DR2 3228064060664253952,74.617257,-0.446549,18.617958,65.301964,20.714224,,3.469,16.146,,,True,0.7915,tails
Gaia DR2 3393315298200049536,75.316923,16.144594,15.344479,56.528418,-21.223327,,3.205,15.825,,,True,0.9997,tails
Gaia DR2 184786299284219776,75.971034,34.087327,30.053227,89.366864,-109.297614,25.068,2.069,11.136,,,True,0.0000,tails
Gaia DR2 2989566553942710016,76.585726,-12.315692,15.791527,57.055198,55.562286,80.569,1.834,12.436,,,True,0.0000,tails
Gaia DR2 3392215133736661760,77.171649,14.744303,15.446838,52.382446,-16.673427,,3.262,16.314,,,True,0.9994,tails
Gaia DR2 3407959826713625984,77.316057,19.572379,15.369167,52.626979,-28.102702,,2.403,13.434,,,True,0.9988,tails
Gaia DR2 2986666420225295104,77.562026,-14.632440,19.335125,64.603007,66.925144,,3.416,15.951,,,True,0.9997,tails
Gaia DR2 3290932829870375680,77.602032,10.417974,14.748947,49.117948,-6.579795,,1.530,11.229,,,True,0.9997,tails
Gaia DR2 3212169176975854592,77.626657,-3.880032,16.089555,53.878190,27.965611,,3.325,16.266,,,True,0.9995,tails
Gaia DR2 3414082525931242368,77.698243,20.569063,12.034900,41.758206,-26.627541,47.814,0.563,7.736,,,True,0.9997,tails
Gaia DR2 3408022193934893440,77.801969,20.213151,14.239581,47.908515,-28.758721,,3.206,16.295,,,True,0.9996,tails
Gaia DR2 3240433669556301696,78.066902,5.369682,15.872189,51.841718,4.996677,,3.004,15.085,,,True,0.9998,tails
Gaia DR2 2963327258702089728,78.476009,-19.958752,17.407981,51.903711,76.320931,,2.828,14.881,,,True,0.9934,tails
Gaia DR2 3422653292087900672,78.808163,29.288735,16.337909,50.436503,-57.368481,,2.990,15.292,,,True,0.9997,tails
Gaia DR2 3215491866755418624,79.106691,-0.521503,22.706534,67.403922,28.688392,,3.110,14.753,,,True,0.9996,tails
Gaia DR2 3207034423316145408,79.200889,-7.775383,18.763804,48.351686,37.398133,,3.423,16.388,,,True,0.0000,tails
Gaia DR2 3221506126640202880,79.301561,-0.231105,15.428186,48.807937,20.754524,,3.065,15.626,,,True,0.9996,tails
Gaia DR2 3421358720223679360,79.564121,27.140944,15.854583,46.352493,-50.682507,,2.316,13.290,,,True,0.9996,tails
Gaia DR2 3417205143252006784,79.811135,24.125861,16.853258,50.136704,-46.740839,,3.513,16.332,,,True,0.9998,tails
Gaia DR2 3338528764090225024,80.354764,9.636415,16.505998,51.170921,-7.642568,35.682,1.581,10.873,,,True,0.9933,tails
Gaia DR2 3237939324349218944,80.938256,6.347643,17.032401,47.780522,0.486871,,3.468,16.597,,,True,0.9995,tails
Gaia DR2 3338970355449435904,81.540721,10.483946,15.455067,40.999295,-7.163284,,3.269,16.226,,,True,0.9996,tails
Gaia DR2 3221797634659986432,81.565679,0.563003,19.355509,50.237405,21.850516,,3.052,14.886,,,True,0.9997,tails
Gaia DR2 3223734390032418688,82.198266,1.868838,15.343644,41.178182,13.782058,,2.770,14.225,,,True,0.9997,tails
Gaia DR2 3340855571214473600,82.339231,11.858543,14.075523,38.602872,-11.546809,,3.072,15.711,,,True,0.9993,tails
Gaia DR2 3402090466142958464,82.553830,20.646749,13.233880,26.018015,-20.924893,0.743,1.462,11.383,,,True,0.0000,tails
Gaia DR2 3402090259984528768,82.561331,20.636590,13.350335,26.769585,-20.369339,-0.046,1.289,10.912,,,True,0.0000,tails
Gaia DR2 2968784925184068352,82.651445,-19.267830,23.057923,56.860139,96.888681,,2.766,13.858,,,True,0.9997,tails
Gaia DR2 3013496977845251968,82.802091,-10.407963,12.185163,22.593856,26.436629,,2.857,15.750,,,True,0.0000,tails
Gaia DR2 2984199459730398208,82.968254,-15.615826,13.558530,27.652061,43.438556,,2.666,15.022,,,True,0.0000,tails
Gaia DR2 3223481296200207616,83.037081,1.640125,17.447122,41.469979,16.795901,,3.089,15.180,,,True,0.9997,tails
Gaia DR2 3341103167488598272,83.069633,13.124960,22.229713,59.564208,-19.964370,,3.059,14.702,,,True,0.8375,tails
Gaia DR2 3216818358815600000,83.073648,-2.616625,15.483231,37.813149,24.527248,,2.788,13.902,,,True,0.9997,tails
Gaia DR2 3223884404650487040,83.127142,2.648446,15.538658,37.258734,11.703490,33.873,0.605,7.373,,,True,0.9552,tails
Gaia DR2 3334005437679415040,83.219866,6.987664,13.642611,32.989566,1.566506,,3.070,15.572,,,True,0.9996,tails
Gaia DR2 3216917555379971200,83.456628,-2.438914,14.009484,33.494601,22.329369,,2.768,14.961,,,True,0.9998,tails
Gaia DR2 3008822026202554880,83.769771,-12.754775,12.512972,30.824769,43.319032,,3.056,15.141,,,True,0.9996,tails
Gaia DR2 3224298645655832832,83.811145,3.118166,12.495147,29.607738,7.977617,,2.960,15.565,,,True,0.9997,tails
Gaia DR2 3340701841449627520,83.909952,11.792492,13.509426,32.706745,-9.496403,,3.348,16.985,,,True,0.9993,tails
Gaia DR2 3333966409312501248,84.060683,6.956213,12.966597,30.331860,1.513535,,2.654,14.361,,,True,0.9996,tails
Gaia DR2 3224454570148668416,84.180039,3.774854,15.998650,34.406355,8.692209,,2.817,14.588,,,True,0.9994,tails
Gaia DR2 3334799632967858560,84.237542,8.756758,15.046895,32.386521,-3.424519,,3.417,17.189,,,True,0.9994,tails
Gaia DR2 3010635086516236928,84.540078,-9.897048,20.372414,44.316369,56.189536,,2.959,14.480,,,True,0.9997,tails
Gaia DR2 3223261634391666176,84.599581,2.402272,16.016332,33.924749,12.711668,,3.202,15.888,,,True,0.9997,tails
Gaia DR2 3008672080303300608,84.910753,-12.946307,13.663357,29.589066,45.705158,,2.648,14.256,,,True,0.9997,tails
Gaia DR2 3332714546603510656,84.933540,5.425076,21.031339,42.630622,6.390577,,2.770,14.029,,,True,0.9997,tails
Gaia DR2 3341356604920325888,85.189046,13.356635,16.450580,33.983308,-16.349105,,3.444,15.907,,,True,0.9996,tails
Gaia DR2 3347392167839809792,85.291811,13.879761,16.018756,32.484093,-18.641381,,3.297,16.193,,,True,0.9998,tails
Gaia DR2 3347826784173590656,85.495633,15.337041,44.597129,79.115222,-43.070820,,1.900,9.867,,,True,0.0315,tails
Gaia DR2 3219075518747298816,85.529891,-0.345655,21.584250,40.044645,26.470448,,3.787,16.248,,,True,0.9991,tails
Gaia DR2 3336974295169153408,85.941022,10.713027,11.901858,22.975109,-7.467731,,2.784,15.476,,,True,0.9996,tails
Gaia DR2 3336989409156944640,86.142236,10.990087,10.660791,21.364209,-6.740645,,2.181,13.490,,,True,0.9998,tails
Gaia DR2 2996257180980487808,86.145002,-14.465164,16.167462,32.915661,56.532791,,3.012,15.717,,,True,0.9988,tails
Gaia DR2 3336914268706466688,86.460359,10.627119,13.627837,27.715513,-7.669142,,3.479,17.088,,,True,0.9990,tails
Gaia DR2 3320558105529372800,86.480164,5.238744,11.727660,21.877053,4.388544,,2.958,15.759,,,True,0.9997,tails
Gaia DR2 3015903735781307264,86.755608,-7.340681,13.069121,24.784478,33.674297,,2.800,14.857,,,True,0.9997,tails
Gaia DR2 3217927147571517568,86.843344,-1.532417,13.981787,25.889005,19.945593,,3.375,16.916,,,True,0.9998,tails
Gaia DR2 3022046986420521216,87.031835,-6.164308,12.507411,22.096393,28.609229,,2.876,14.652,,,True,0.9997,tails
Gaia DR2 3319184162670574208,87.109860,2.825115,11.946035,18.803728,8.170653,,2.958,15.754,,,True,0.9790,tails
Gaia DR2 3427776054200455552,87.399363,24.173853,14.190319,25.445860,-42.471382,,3.347,16.638,,,True,0.9996,tails
Gaia DR2 3348035553945613952,87.848216,15.551090,15.082307,25.915768,-20.109098,,2.913,14.891,,,True,0.9981,tails
Gaia DR2 3011634886183067136,87.889724,-9.153180,12.675077,21.606581,35.332662,,3.090,15.822,,,True,0.9998,tails
Gaia DR2 3335867361837804160,87.907264,9.705361,18.520610,18.277010,-6.761364,,3.579,16.754,,,True,0.0000,tails
Gaia DR2 3217996515587266816,87.923386,-1.263758,15.212439,17.855177,19.269339,41.653,2.091,12.524,,,True,0.0000,tails
Gaia DR2 3428298528382128000,88.258001,25.128064,57.900657,86.568524,-171.358252,,2.507,11.240,,,True,0.9996,tails
Gaia DR2 3319793631414576896,88.313467,4.116108,9.738691,4.986878,1.889808,,1.824,18.480,,,True,0.0000,tails
Gaia DR2 3011565342072808704,88.391598,-9.436736,11.369992,15.117229,27.621335,,3.227,16.849,,,True,0.0021,tails
Gaia DR2 3025402730267686912,88.665529,-2.806202,13.403757,19.899459,23.211924,,2.453,13.723,,,True,0.9998,tails
Gaia DR2 3323019431029730560,88.886512,7.909503,13.132732,19.395809,-1.945750,,2.368,13.655,,,True,0.9998,tails
Gaia DR2 3343025148176243712,89.151933,12.136190,13.555808,18.246373,-11.801436,,3.072,15.728,,,True,0.9996,tails
Gaia DR2 3348713948322908928,89.211456,15.270976,15.655582,21.081964,-20.984508,,2.946,15.040,,,True,0.9994,tails
Gaia DR2 3024508964753633536,89.522077,-3.497217,16.002457,20.194707,29.058987,,3.227,16.036,,,True,0.9996,tails
Gaia DR2 3218565379712306560,89.601161,-0.186620,12.334176,17.342543,15.583242,,2.753,15.233,,,True,0.9998,tails
Gaia DR2 2909424731942347392,89.734686,-29.178159,12.228727,17.218625,73.195198,,3.056,16.046,,,True,0.9997,tails
Gaia DR2 3019647920768364672,89.813371,-5.109012,10.624892,7.283316,13.323483,,2.560,14.621,,,True,0.0000,tails
Gaia DR2 3315967541404032896,89.874756,2.476202,13.115374,16.524214,9.986802,58.895,0.595,7.668,,,True,0.9999,tails
Gaia DR2 3025915377564893056,90.181698,-1.782474,13.522239,17.082870,21.662904,,3.240,15.673,,,True,0.9997,tails
Gaia DR2 3321943971216932096,90.262272,6.861674,14.155543,15.955855,0.507223,,0.955,9.567,,,True,0.9995,tails
Gaia DR2 2990630228364572288,90.414799,-18.084994,12.851226,15.380133,54.569223,,3.284,16.569,,,True,0.9998,tails
Gaia DR2 3315593982328934400,90.429668,2.534991,10.067639,13.084347,7.992061,,2.963,16.100,,,True,0.9998,tails
Gaia DR2 2883206877177906688,90.743860,-38.678302,12.444693,14.595729,90.624535,,2.871,14.805,,,True,0.9997,tails
Gaia DR2 3021086494294837888,90.911579,-5.034592,10.261000,11.518616,21.457930,,3.199,16.621,,,True,0.9997,tails
Gaia DR2 2998236065691096576,91.027215,-11.145806,17.174991,12.422747,43.319195,46.580,1.566,10.882,,,True,0.0000,tails
Gaia DR2 3020873566995417088,91.181171,-5.408163,17.117828,18.911774,36.541569,,2.902,14.839,,,True,0.9998,tails
Gaia DR2 3329734625278739712,91.404182,9.899119,15.877099,15.788152,-6.829578,,3.100,15.186,,,True,0.9995,tails
Gaia DR2 3005506758125892096,91.489830,-9.003921,15.544130,13.134347,42.452441,,2.980,14.802,,,True,0.9983,tails
Gaia DR2 2897000765944570240,91.604851,-30.590058,16.373373,17.518227,100.489930,,2.767,14.247,,,True,0.9995,tails
Gaia DR2 2997774958001029504,91.656593,-12.502646,16.767995,16.843059,57.444061,,2.641,13.747,,,True,0.9997,tails
Gaia DR2 2991432459536767488,91.671671,-16.264726,13.179031,10.549799,37.059791,35.091,2.033,12.568,,,True,0.0000,tails
Gaia DR2 3373563082906743552,91.826328,18.233440,20.988082,18.998234,-42.135741,-7.496,1.928,11.882,,,True,0.0000,tails
Gaia DR2 2911890249329592704,92.052266,-26.120168,13.714840,13.989261,76.254561,,2.829,14.728,,,True,0.9995,tails
Gaia DR2 3004415733353623808,92.214475,-10.235876,13.729874,13.470319,41.695634,,3.121,15.964,,,True,0.9996,tails
Gaia DR2 2997858349087312384,92.274910,-12.445832,10.835248,10.092706,36.620990,,2.753,15.069,,,True,0.9998,tails
Gaia DR2 3021373363751029888,92.672881,-4.501158,15.866168,12.827743,31.854898,,3.487,15.786,,,True,0.9998,tails
Gaia DR2 3325157736332326784,92.833386,7.184299,54.081151,10.109868,9.994511,,2.997,12.688,,,True,0.0000,tails
Gaia DR2 5572748211482652928,92.847300,-40.878596,11.202556,9.148745,71.928883,38.619,1.783,12.722,,,True,0.0000,tails
Gaia DR2 3019678466576294272,92.884788,-6.864162,10.267186,7.737927,24.799893,,2.788,15.152,,,True,0.9997,tails
Gaia DR2 3319072184286515712,93.027524,6.637633,9.898100,-2.925086,-1.228718,,2.626,14.910,,,True,0.0000,tails
Gaia DR2 3004826504025597312,93.323552,-9.631793,12.560641,9.493585,36.968764,,3.044,15.749,,,True,0.9997,tails
Gaia DR2 3004878902626515200,93.457910,-9.194519,10.017518,7.152325,27.881681,,2.988,16.419,,,True,0.9997,tails
Gaia DR2 3437321636195093376,93.663474,30.650063,11.145181,9.359987,-47.182498,38.146,1.991,12.812,,,True,0.9944,tails
Gaia DR2 3007627681696904704,93.726308,-7.014556,12.049608,8.092955,27.530064,,2.726,15.197,,,True,0.9991,tails
Gaia DR2 3121191496086374016,93.750204,-1.202448,11.294269,5.926046,16.293789,,3.064,15.517,,,True,0.9993,tails
Gaia DR2 3317078494826352128,93.791434,3.361685,14.199734,3.067791,0.247572,,2.352,13.795,,,True,0.0000,tails
Gaia DR2 3433218838619177600,93.847101,27.491945,23.211827,10.358739,-66.268283,10.590,1.401,10.106,,,True,0.0000,tails
Gaia DR2 3007297312812515712,94.084195,-8.128888,16.188679,9.954401,39.684185,,2.604,13.934,,,True,0.9991,tails
Gaia DR2 2896801582542487040,94.235228,-29.869694,12.636062,6.737282,72.138790,31.174,0.637,8.066,,,True,0.0000,tails
Gaia DR2 3008216641973381760,94.269079,-5.988061,13.504528,7.161585,31.249304,,3.126,15.992,,,True,0.9998,tails
Gaia DR2 3437051942311118336,94.532305,30.155403,9.743671,4.094313,-28.471538,14.480,1.716,12.774,,,True,0.0000,tails
Gaia DR2 3436950516662529408,94.913860,29.359510,9.637762,5.289421,-40.860861,38.518,1.865,13.162,,,True,0.9658,tails
Gaia DR2 2899387771329884288,95.069507,-27.322026,12.698702,4.811814,71.197084,,2.611,14.196,,,True,0.9996,tails
Gaia DR2 3125438187952158464,95.408751,4.140752,16.366165,8.339785,14.022279,,1.363,17.318,,,True,0.0187,tails
Gaia DR2 3001170524784385920,95.418934,-11.408900,10.953005,3.727966,34.491016,,3.397,17.459,,,True,0.9997,tails
Gaia DR2 2944823165204143488,95.480479,-16.504455,10.140135,3.120727,40.566293,,3.184,16.738,,,True,0.9996,tails
Gaia DR2 3330855616042218112,95.537361,11.129885,9.702080,4.649831,-9.680235,,-0.093,17.276,,,True,0.9966,tails
Gaia DR2 3330855616042214912,95.544030,11.129932,9.781158,4.394666,-9.747783,,0.068,17.182,,,True,0.9959,tails
Gaia DR2 3006386058191458048,95.726986,-8.423599,8.284760,1.738814,13.504848,,2.550,15.532,,,True,0.0000,tails
Gaia DR2 3006386058191457408,95.727593,-8.422279,8.296289,0.514528,12.819768,,2.563,15.492,,,True,0.0000,tails
Gaia DR2 3124963954842553600,95.749834,2.799898,15.925374,5.211271,17.565811,40.289,1.201,10.168,,,True,0.0000,tails
Gaia DR2 3368703520688870272,95.889502,14.722402,9.356078,4.195730,-12.976632,,1.978,13.777,,,True,0.9987,tails
Gaia DR2 3116607632110968704,95.904604,-3.926764,9.917612,2.558920,18.860245,,2.665,14.915,,,True,0.9998,tails
Gaia DR2 2938081883315635712,96.163944,-21.409299,9.762716,2.196191,47.756695,40.716,2.132,13.599,,,True,0.9998,tails
Gaia DR2 2943350060139561984,96.276355,-18.128711,9.648806,2.106331,37.790125,94.583,1.006,10.478,,,True,0.0000,tails
Gaia DR2 3000249477638617472,96.276395,-12.436864,9.892119,1.509197,33.402055,,2.765,15.197,,,True,0.9997,tails
Gaia DR2 3435429411044173696,96.343512,29.751967,10.597398,2.349412,-42.139046,,2.594,15.399,,,True,0.9997,tails
Gaia DR2 3006412996226400896,96.469177,-8.089892,9.643853,1.722141,25.548977,,1.794,12.854,,,True,0.9998,tails
Gaia DR2 3000485116724033792,96.509458,-11.259141,8.872632,2.242970,28.472756,,2.565,14.956,,,True,0.9997,tails
Gaia DR2 3006353691318025472,96.526593,-8.324952,9.190019,0.051926,18.079309,,2.328,14.066,,,True,0.0000,tails
Gaia DR2 3006353691318024576,96.527360,-8.322723,9.133954,-0.616437,17.690419,,2.615,14.938,,,True,0.0000,tails
Gaia DR2 3116672125340837120,96.633335,-3.731399,8.936373,-0.087237,7.820494,,2.804,16.315,,,True,0.0000,tails
Gaia DR2 3369759081913153536,96.955045,17.532053,15.598190,3.284751,-30.031888,,0.827,18.620,,,True,0.9987,tails
Gaia DR2 2940150824900129664,97.119743,-19.284391,14.809896,1.215558,64.567585,,3.506,16.907,,,True,0.9996,tails
Gaia DR2 3132064463496643712,97.129783,5.924169,9.703557,0.711586,-4.347767,39.812,1.793,12.825,,,True,0.0000,tails
Gaia DR2 3120409571521092352,97.291917,0.954359,9.686828,1.061494,7.039370,,2.327,14.640,,,True,0.8572,tails
Gaia DR2 2895632320645959296,97.444751,-28.516255,17.784185,-3.159060,104.071448,,3.877,17.310,,,True,0.9994,tails
Gaia DR2 2937175512078811136,97.547540,-21.760583,10.702231,-2.909970,44.836641,,2.923,15.902,,,True,0.0000,tails
Gaia DR2 2950265438523915520,97.680221,-15.395706,11.367366,0.421361,43.649115,,2.672,14.774,,,True,0.9996,tails
Gaia DR2 5574048727580099200,97.720575,-37.967175,12.019126,-0.344493,86.911347,,2.674,14.672,,,True,0.9997,tails
Gaia DR2 2950166276319909760,97.783384,-15.954597,9.116122,-1.069277,35.881619,,2.553,14.997,,,True,0.9995,tails
Gaia DR2 3435968515338951168,97.817031,30.864581,10.284419,-1.120575,-40.329243,,2.421,14.353,,,True,0.9924,tails
Gaia DR2 2923128495117338880,97.916878,-26.310217,20.974667,-2.117347,114.869513,,2.944,14.506,,,True,0.9997,tails
