designation,ra,dec,parallax,pmra,pmdec,radial_velocity,bp_rp,phot_g_mean_mag,in_dr2,in_meingast,in_roser,mean_pmem,fit_group
Gaia DR2 3408317000489415296,74.865355,19.343594,21.328401,79.462998,-41.150760,,2.916,14.268,True,,True,0.9978,cl
Gaia DR2 3408504261063819520,73.684200,19.680725,21.979965,88.410478,-40.387387,,2.490,12.843,True,,True,0.9944,cl
Gaia DR2 148183866430358016,70.038922,25.592127,22.615337,99.053994,-61.289383,35.033,1.598,10.089,True,,True,0.9967,cl
Gaia DR2 148184656704340352,70.028719,25.612409,23.403344,105.172424,-62.959921,,2.584,13.145,True,,True,0.9982,cl
Gaia DR2 3304412601908736512,63.614067,12.435258,21.130521,114.795353,-13.082494,38.319,0.806,7.878,True,True,True,0.9995,cl
Gaia DR2 3304478125929665152,62.777381,12.796658,23.041428,132.293876,-13.270042,,3.835,16.541,True,,True,0.9769,cl
Gaia DR2 3304337251002413952,62.111640,12.191799,21.531759,119.433261,-10.943106,37.569,1.651,10.703,True,True,True,0.9988,cl
Gaia DR2 3304096595394580608,64.045780,11.533702,21.998517,116.761810,-11.903472,,3.386,15.855,True,,True,0.9962,cl
Gaia DR2 3311906770084019712,64.367727,14.900986,20.192265,105.940698,-17.240425,,2.596,13.276,True,,True,0.9940,cl
Gaia DR2 3311804515502788352,63.273935,15.247703,22.215303,122.148475,-18.337086,,2.955,14.382,True,,True,0.9870,cl
Gaia DR2 3311934086075988864,64.465597,15.227066,21.003984,109.707268,-21.654758,,2.886,14.246,True,,True,0.9967,cl
Gaia DR2 3311785239689504512,62.811403,15.086267,22.281726,123.279991,-24.864564,,4.063,17.149,True,,True,0.9793,cl
Gaia DR2 3311883817778820480,65.151777,15.095362,21.339083,109.037893,-21.307274,,0.308,5.180,True,,True,0.9965,cl
Gaia DR2 3291495436226226688,74.832937,10.385968,22.012153,83.582283,-10.471600,42.918,2.449,12.811,True,True,True,0.9992,cl
Gaia DR2 3291312951656888320,73.657826,9.409054,21.713682,82.822058,-8.331648,,3.034,14.657,True,,True,0.9912,cl
Gaia DR2 3388751431591386240,77.735935,13.121932,22.316313,71.780256,-20.883722,,2.950,13.874,True,,True,0.9972,cl
Gaia DR2 151312419393052032,67.296277,26.246516,20.930918,103.186450,-55.555452,,2.142,12.065,True,,True,0.9980,cl
Gaia DR2 151374477375986176,67.401463,26.572953,20.271670,98.033896,-55.097796,,2.994,14.619,True,,True,0.9981,cl
Gaia DR2 146687018788948224,69.988408,23.137644,23.068517,101.548278,-55.502049,39.788,1.740,10.750,True,True,True,0.9985,cl
Gaia DR2 146677879098433152,69.714211,23.149740,22.845324,105.529219,-54.442099,39.081,0.741,7.367,True,True,True,0.9979,cl
Gaia DR2 146740207663868032,69.121912,23.340628,22.331192,98.502611,-49.713516,,0.531,5.903,True,,True,0.9593,cl
Gaia DR2 146727391481452544,69.242650,23.277164,20.532385,91.404318,-44.787026,,3.761,17.236,True,,True,0.9849,cl
Gaia DR2 146717014840345216,69.936385,23.532602,19.208826,87.590718,-45.429643,,3.221,15.702,True,,True,0.9977,cl
Gaia DR2 146712303261194624,70.046248,23.420445,19.976854,89.506217,-45.840465,,3.804,17.116,True,,True,0.9975,cl
Gaia DR2 146592838746224384,70.717757,23.339393,18.379048,80.516213,-43.719738,,2.717,13.761,True,,True,0.9981,cl
Gaia DR2 44052178182130816,55.519163,16.421655,23.380591,153.499144,-24.220706,,3.156,14.873,True,,True,0.9899,cl
Gaia DR2 3391728565481255040,75.400528,13.932916,23.388528,86.272669,-22.052682,43.565,1.746,10.745,True,True,True,0.9960,cl
Gaia DR2 150982364040857472,67.447340,25.488320,20.826241,98.044647,-52.224647,,4.401,18.287,True,,,0.9948,cl
Gaia DR2 3301997524618877568,59.793020,9.283941,23.715666,142.526686,-0.290118,,3.504,15.960,True,,True,0.9967,cl
Gaia DR2 53725750202606208,62.167864,23.557132,21.699086,123.323661,-42.067261,37.754,2.437,12.559,True,True,True,0.9878,cl
Gaia DR2 144171233106399104,67.815881,20.133000,21.618673,106.435908,-39.324500,39.765,0.911,8.394,True,True,True,0.9988,cl
Gaia DR2 3410154456217987584,70.712631,19.487012,20.597709,88.884634,-36.306646,,2.713,13.734,True,,True,0.9974,cl
Gaia DR2 3410118477275889024,71.511719,19.468174,20.380766,85.414152,-35.475322,,3.720,16.833,True,,True,0.9964,cl
Gaia DR2 3410076150374417408,71.028302,19.035349,20.276941,88.806216,-34.382420,,3.211,15.575,True,,True,0.9977,cl
