  ID      HIP       RA       Dec       M/R      e_M/R      GR      C    GR+C   DRV_M02  DRV_M02_GR   DRV_M02_GR+C   DRV_G17  DRV_G17_GR   DRV_G17_GR+C       SpType    Vmag    (B-V)   e_(B-V)  RV_P98   eRV_P98   RV_M02  eRV_M02  RV_G17  eRV_G17  RV_HARPS   eRV_HARPS    FWHM     S/N   Flag      |r-rc|  e|r-rc|  V_alpha eV_alpha  V_delta  eV_delta       CR      RV_HARPS_GR+C   RV_G17_CR   DRV_G17_GR+C+CR
  49     20605   66.2000   15.8748    1.016     0.110     644    -312    332     585        -58           254         707        63            375           M0.5Ve   11.66    1.408    0.013    40.20     0.36     39.4     0.6    39.28    0.16     39.9854     0.0060      9.4     38      1          --       --      --       --       --        --        -300        39.6538        38.98           676
  50     20745   66.6781   12.6866    1.041     0.053     660    -245    415     456       -204           41          586        -74           171            M0V     10.50    1.358    0.002    41.38     0.18    39.84     0.6    39.71    0.16     40.2956     0.0022      7.6     56      1          --       --      --       --       --        --        -504        39.8805        39.21           674
  51     20762   66.7269   13.1381    1.116     0.061     707    -236    472     381       -326           -90         508       -199           36              K7     10.48    1.146    0.001    41.22     0.21    39.83     0.6    39.70    0.16     40.2113     0.0018      8.2     57      1         3.51     0.24   23.845    0.276   -3.765    0.052        -48        39.7397        39.66           84
  52     20827   66.9464   14.4177    1.137     0.085     721    -333    388    -101       -822          -489         17        -703          -370             K0      9.48    0.929    0.005    40.46     0.07    39.82     0.6    39.70    0.16     39.7185     0.0008      8.0     103     1         3.19     0.49   23.375    0.310   -4.478    0.061        -14        39.3308        39.69          -356
  53     21138   67.9691   15.4994    1.075     0.161     681    -234    447     261       -420          -187         385       -297           -63            K5Ve    11.02    1.280    0.014    41.28     0.21    40.13     0.6    40.01    0.16     40.3908     0.0025      7.7     46      1         2.02     0.44   22.646    0.267   -5.224    0.069       -146        39.9435        39.86           83
  54     21256   68.4054   21.1507    1.090     0.079     691    -239    452     464       -227           11          575       -116           123             K8     10.69    1.237    0.005    41.39     0.20    39.56     0.6    39.45    0.16     40.0236     0.0013      7.6     74      1         4.73     0.36   22.336    0.265   -9.538    0.114       -212        39.5714        39.24           335
  55     21261   68.4251   19.0139    1.102     0.060     699    -234    465     273       -426          -192         388       -311           -77             --     10.74    1.197    0.004    41.43     0.15    39.89     0.6    39.77    0.16     40.1629     0.0015      8.1     69      1         2.20     0.53   22.578    0.271   -7.616    0.094        -67        39.6981        39.71           -9
  56     21723   69.9628   12.7284    1.129     0.061     716    -237    478     599       -116           121         717         1            239             K5     10.04    1.073    0.005    42.50     0.19    41.08     0.6    40.96    0.17     41.6793     0.0010      7.9     89      1         5.73     0.39   20.787    0.212   -3.275    0.041       -248        41.2011        40.71           486
  57     22177   71.5787    3.6364    1.076     0.071     682    -237    444     190       -492          -254         310       -372          -134             --     10.92    1.277    0.005    43.16     0.25    41.71     0.6    41.59    0.17     41.9002     0.0021      7.5     50      1        11.46     0.27   19.972    0.230    2.846    0.044       -160        41.4557        41.43           26
  58     22253   71.8595   23.0508    1.123     0.084     712    -248    463     216       -496          -247         324       -388          -140           K2III    10.69    1.112    0.004    41.78     0.23     40.4     0.6    40.29    0.16     40.6158     0.0014      8.3     71      1        10.21     1.10   20.371    0.333   -10.645   0.174        181        40.1526        40.47          -320
