# HIP - Hipparcos identifier
# TYC - Tycho-2 identifier
# source_id - Gaia DR1 identifier
# c - the c-value (chi-squared) of the star
# p - the p-value of the star corresponding to the c-value
# RV - radial velocity (in km/s)
# e_RV - radial velocity error (which have been inflated due to the zero-point differences)
# s_RV - the source of the radial velocity measurement
# Keys for radial velocity literature sources given in this
# column are the following: 1 - XHIP, 2 - RAVE, 3 - APOGEE,
# 4 - GALAH, 5 - Perryman et al. (1998), 6 - HADES, 7 - White et
# al. (2007), 8 - Mermilliod et al. (2009), 9 - Tabernero et al.
# (2012), 10 - Griffin (2012), 11 - Griffin (2013) and 12 -
# Debernardi et al. (2000).
# plx_mod - the kinematically modelled parallax for this star (if missing then the star was rejected during kinematic modelling)
# e_plx_mod - standard deviation of the modelled parallax


 HIP     TYC           source_id             c         p        RV       e_RV    s_RV   plx_mod   e_plx_mod
  22157   691-1509-1    ""                    2.3554    0.502    43.0     1.0     5      ""        ""
  21654   694-225-1     ""                    0.4231    0.9354   41.378   1.007   5      22.77     0.319
  22607   696-1789-1    ""                    3.589     0.3094   41.004   1.028   5      ""        ""
  23983   702-2789-1    ""                    0.6455    0.8859   44.56    1.01    5      19.014    0.236
  12709   1226-710-1    ""                    12.3537   0.0063   31.567   1.011   5      ""        ""
  13834   1230-1425-1   ""                    0.082     0.9939   28.1     1.2     5      30.342    0.172
  18170   1253-716-1    ""                    0.6834    0.8771   35.0     2.5     5      23.725    0.185
  19098   1254-178-1    ""                    3.6762    0.2986   36.802   1.001   5      21.94     0.305
  18735   1254-866-1    ""                    4.743     0.1916   31.7     1.1     5      ""        ""
  20215   1264-348-1    ""                    4.0467    0.2565   39.544   1.036   5      ""        ""
  20440   1264-755-1    ""                    0.826     0.8432   37.4     2.9     5      21.893    0.295
  20484   1264-1008-1   ""                    0.5202    0.9144   37.7     1.044   5      20.617    0.224
  20205   1264-1009-1   ""                    1.4758    0.6879   38.78    1.006   5      ""        ""
  20261   1264-1010-1   ""                    1.2406    0.7433   36.2     1.2     5      21.037    0.199
  20719   1265-59-1     ""                    7.0939    0.069    38.876   1.047   5      ""        ""
  20916   1265-791-1    ""                    5.8972    0.1167   45.0     2.5     5      ""        ""
  21029   1265-1169-1   ""                    1.4353    0.6973   41.0     1.8     5      ""        ""
  20885   1265-1170-1   ""                    7.3964    0.0603   39.67    1.003   5      ""        ""
  20894   1265-1172-1   ""                    0.0792    0.9942   38.9     1.02    5      22.079    0.238
  21137   1265-1173-1   ""                    3.0857    0.3786   36.0     2.5     5      ""        ""
  21039   1265-1174-1   ""                    0.3531    0.9498   39.96    1.026   5      21.706    0.244
  20995   1265-1175-1   ""                    3.7849    0.2856   29.3     5.0     5      22.111    0.278
  20713   1265-1176-1   ""                    5.0107    0.171    40.8     4.26    5      ""        ""
  21543   1266-112-1    ""                    1.6757    0.6424   41.741   1.053   5      20.431    0.387
  21280   1266-398-1    ""                    6.8029    0.0785   37.6     1.2     5      ""        ""
  21588   1266-1417-1   ""                    8.5689    0.0356   38.4     1.2     5      ""        ""
  21683   1266-1418-1   ""                    5.375     0.1463   35.6     2.5     5      ""        ""
  21762   1267-210-1    ""                    2.036     0.565    40.074   1.014   5      20.325    0.564
  20086   1268-707-1    ""                    7.5096    0.0573   39.659   1.001   5      ""        ""
  20455   1268-1267-1   ""                    0.0904    0.993    39.15    1.003   5      20.919    0.249
  20935   1269-294-1    ""                    1.1024    0.7765   40.049   1.006   5      21.918    0.244
  20679   1269-829-1    ""                    0.7881    0.8523   37.0     7.5     5      22.605    0.407
  21123   1269-1027-1   ""                    0.5922    0.8982   39.548   1.006   5      22.02     0.342
  20542   1269-1244-1   ""                    2.4608    0.4824   39.2     1.2     5      ""        ""
  20648   1269-1246-1   ""                    0.6143    0.8932   38.7     1.3     5      21.813    0.235
  22265   1271-1229-1   ""                    1.675     0.6425   39.8     1.077   5      20.031    0.314
  22224   1271-1301-1   ""                    1.3522    0.7168   39.481   1.004   5      22.814    0.437
  20237   1272-439-1    ""                    0.7457    0.8624   38.596   1.016   5      22.289    0.24
  20482   1272-912-1    ""                    2.3618    0.5008   39.083   1.004   5      19.49     0.313
  20686   1273-138-1    ""                    0.6915    0.8752   40.194   1.105   5      22.059    0.282
  20889   1273-1104-1   ""                    0.3019    0.9597   38.87    1.002   5      22.035    0.176
  20087   1276-1622-1   ""                    0.2412    0.9707   37.78    1.007   5      18.099    0.176
  20635   1277-1626-1   ""                    0.1685    0.9825   38.6     1.2     5      21.137    0.153
  20641   1277-1627-1   ""                    4.1647    0.2442   32.0     2.5     5      22.345    0.198
  20842   1277-1628-1   ""                    0.9408    0.8156   37.5     3.3     5      20.313    0.198
  23214   1281-792-1    ""                    0.9314    0.8178   42.9     1.5     5      23.61     0.255
  22496   1284-332-1    ""                    3.2397    0.3561   41.8     1.013   5      23.299    0.435
  22565   1288-1706-1   ""                    3.4186    0.3315   36.8     1.2     5      19.506    0.254
  22350   1292-770-1    ""                    8.692     0.0337   41.066   1.093   5      ""        ""
  23497   1293-2747-1   ""                    1.8707    0.5997   38.0     1.7     5      18.943    0.195
  26382   1302-362-1    ""                    2.237     0.5247   41.1     1.2     5      20.133    0.273
  26159   1309-1314-1   ""                    7.8066    0.0502   42.085   1.0     11     6.406     0.273
  19591   1815-309-1    ""                    0.4728    0.9248   36.084   1.033   5      25.378    0.351
  20711   1816-1893-1   ""                    1.43      0.6985   35.6     1.166   5      21.572    0.167
  20491   1820-1157-1   ""                    1.3778    0.7108   35.9     1.118   5      18.654    0.205
  19365   1826-1301-1   ""                    2.7018    0.4399   37.324   1.011   5      14.627    0.175
  21459   1830-2128-1   ""                    6.1216    0.1058   43.3     1.2     5      ""        ""
  13117   ""            ""                    5.8449    0.1194   27.0     1.114   5      ""        ""
  20605   ""            ""                    1.7653    0.6225   40.6     1.063   5      20.579    0.936
  24020   ""            ""                    3.5149    0.3188   44.31    1.018   5      17.992    0.588
  ""      632-608-1     23311811172415488     3.2555    0.1964   ""       ""      ""     11.676    0.134
  ""      635-90-1      26259120810103552     6.9465    0.031    ""       ""      ""     ""        ""
  ""      644-477-1     21390998718385664     0.8154    0.6652   ""       ""      ""     11.005    0.093
  ""      1272-67-1     48986953869664000     1.0899    0.5799   ""       ""      ""     10.121    0.12
  ""      665-1048-1    38453460676522752     8.2327    0.0163   ""       ""      ""     ""        ""
  ""      1272-945-1    49155660184551680     1.9633    0.3747   ""       ""      ""     10.697    0.117
  ""      1814-794-1    53942246617146240     0.2339    0.8896   ""       ""      ""     21.273    0.185
  ""      1821-255-1    67270457850822912     3.6254    0.1632   ""       ""      ""     ""        ""
  ""      1218-269-1    79881650062116352     7.6179    0.0222   ""       ""      ""     ""        ""
  ""      1240-134-1    59364144612120064     2.5644    0.2774   ""       ""      ""     ""        ""
  ""      1240-572-1    59404001908663552     0.928     0.6287   ""       ""      ""     10.921    0.081
  ""      1811-2014-1   71487325460694912     0.1031    0.9497   ""       ""      ""     17.79     0.421
  ""      1215-1096-1   76117300205326976     7.7234    0.021    ""       ""      ""     ""        ""
  ""      1215-357-1    82603594175480320     10.0332   0.0066   ""       ""      ""     ""        ""
  ""      2341-1205-1   124145479935111424    9.8857    0.0071   ""       ""      ""     ""        ""
  ""      1785-843-1    114317976286533888    10.2916   0.0058   ""       ""      ""     ""        ""
  ""      1834-179-1    148183862135533952    0.2698    0.8738   ""       ""      ""     22.836    0.253
  ""      1277-136-1    144534720481849856    0.1917    0.9086   ""       ""      ""     23.25     0.146
  ""      1786-572-1    114842099735769856    11.1859   0.0037   ""       ""      ""     ""        ""
  ""      1815-1949-1   148946064212226944    0.6723    0.7145   ""       ""      ""     18.3      0.167
  ""      2361-1603-1   170457596891797760    0.4408    0.8022   ""       ""      ""     22.335    0.163
  ""      2378-1207-1   173447237727870080    3.2695    0.195    ""       ""      ""     ""        ""
  ""      4767-1278-1   3216618964956221184   2.7672    0.2507   ""       ""      ""     ""        ""
  ""      4754-346-1    3226859610099438592   9.5252    0.0085   ""       ""      ""     ""        ""
  ""      118-854-1     3223884400355529984   0.1743    0.9165   ""       ""      ""     15.619    0.232
  ""      111-1438-1    3240642984786774528   1.2137    0.5451   ""       ""      ""     14.743    0.213
  ""      93-579-1      3239532512402275584   11.0089   0.0041   ""       ""      ""     ""        ""
  ""      1265-1118-1   3311179335766914944   0.3567    0.8366   ""       ""      ""     20.709    0.19
  ""      689-1248-1    3291625517899980032   2.1663    0.3385   ""       ""      ""     11.704    0.188
