,id,hip,ra,dec,m/r,e_m/r,gr,c,gr+c,drv_m02,drv_m02_gr,drv_m02_gr+c,drv_g17,drv_g17_gr,drv_g17_gr+c,sptype,vmag,(b-v),e_(b-v),rv_p98,erv_p98,rv_m02,erv_m02,rv_g17,erv_g17,rv_harps,erv_harps,fwhm,s/n,flag,|r-rc|,e|r-rc|,v_alpha,ev_alpha,v_delta,ev_delta,cr,rv_harps_gr+c,rv_g17_cr,drv_g17_gr+c+cr,gaia_source_id,gaia_ra,gaia_dec,radial_velocity,radial_velocity_error,radial_velocity_source,parallax_gaia,parallax_gaia_error,pmra_gaia,pmdec_gaia,pmra_gaia_error,pmdec_gaia_error,pmra_pmdec_gaia,pmra_hg,pmdec_hg,pmra_hg_error,pmdec_hg_error,pmra_pmdec_hg,pmra_hip,pmdec_hip,pmra_hip_error,pmdec_hip_error,pmra_pmdec_hip,epoch_ra_gaia,epoch_dec_gaia,epoch_ra_hip,epoch_dec_hip,crosscal_pmra_hip,crosscal_pmdec_hip,crosscal_pmra_hg,crosscal_pmdec_hg,nonlinear_dpmra,nonlinear_dpmdec
21,26,23069,74.4566,14.0021,1.11,0.06,703,-396,308,484,-219,177,595,-109,287,G5,8.89,0.737,0.001,43.68,0.16,42.48,0.6,42.37,0.17,42.9643,0.0009,7.6,100,0,10.45,0.80,18.037,0.251,-4.664,0.068,193,42.6568,42.56,94,3392446821452424192,74.45658373676308,14.002109915607099,42.413628,0.29076803,b'Gaia_DR2',18.31401,0.049679168,69.82588,-18.010885,0.12648334,0.07895025,-0.18996498,69.7605,-18.121037,0.049422402,0.035213634,0.27594098,68.971825,-18.71767,1.4078592,1.0229704,0.5160211,2015.5434655026313,2015.8678477105693,1990.9960589601892,1990.6140503945612,-0.3121461,-0.37200865,0.009181541,-0.051264122,-0.001378847,0.00028822728
22,27,23498,75.7822,13.7306,1.1159999999999999,0.063,708,-408,299,302,-405,3,417,-291,117,K0,9.0,0.765,0.002,43.51,0.19,42.9,0.6,42.79,0.17,43.2023,0.0012,8.9,93,0,10.26,0.75,16.694,0.253,-4.544,0.070,142,42.9031,42.93,-25,3391712038447198080,75.7822034410859,13.730590462626502,42.37107,0.34062493,b'Gaia_DR2',18.600252,0.057776354,66.20208,-18.016245,0.1737035,0.10175155,-0.13399316,66.2484,-18.083454,0.049365968,0.029155456,0.13085432,65.88424,-18.582336,1.4227254,0.81982344,0.26872367,2015.627717349592,2015.8969577343853,1991.157748482281,1990.7487549268108,-0.28465155,-0.22754373,0.014508509,-0.05090293,-0.0013236037,0.00030015843
23,28,23750,76.5752,17.8163,1.1079999999999999,0.078,702,-438,264,215,-487,-49,324,-378,60,K0,8.82,0.73,0.015,42.31,0.18,42.67,0.6,42.56,0.17,42.8852,0.0012,9.4,101,0,10.35,0.86,16.268,0.246,-7.864,0.119,143,42.6213,42.7,-83,3407121831350730112,76.57524955040142,17.816278827297783,42.589573,0.2653451,b'Gaia_DR2',18.604486,0.052479494,64.451584,-31.28317,0.13407774,0.092939876,-0.15723751,64.518555,-31.288658,0.041871592,0.026831692,0.20886998,63.506638,-32.426086,1.2240777,0.7370135,0.38650838,2015.661637469483,2015.8436012898246,1991.117711787435,1990.7850087609554,-0.3549711,-0.24676436,0.036790445,-0.054319125,-0.0013209607,0.00055306416
24,29,24923,80.1062,11.6098,1.1159999999999999,0.063,708,-410,297,406,-301,109,506,-201,209,K0,9.03,0.765,0.028999999999999998,43.7,0.23,44.17,0.6,44.07,0.17,44.5765,0.0011,9.1,107,0,14.92,0.73,13.646,0.218,-3.556,0.059,226,44.2791,44.3,-17,3387381646261643776,80.10616243753972,11.609757883008385,44.200138,0.6461018,b'Gaia_DR2',17.799408,0.04862707,52.25529,-13.987404,0.16455954,0.123424195,-0.20110035,52.18332,-13.680747,0.046884034,0.035837565,0.18593147,50.301086,-13.914986,1.2681937,0.9771599,0.43615693,2015.6776449872627,2015.7644669782244,1991.0717535744566,1990.758098644687,0.016299149,0.0032461106,0.021141984,-0.054523073,-0.0010413815,0.00024026803
25,31,15300,49.3461,26.3148,1.016,0.077,644,-289,355,-719,-1362,-1074,-589,-1233,-944,M0,11.11,1.4080000000000001,0.006999999999999999,29.84,0.29,30.06,0.58,29.93,0.13,29.3413,0.0031,7.5,45,1,16.29,0.33,33.491,0.325,-8.819,0.092,-311,28.9863,29.62,-633,118234509720825856,49.34616220910208,26.314819586074673,29.8,0.4,b'XHIP',26.419441,0.046593856,186.1525,-48.498165,0.15427025,0.116799824,0.26883096,186.49144,-49.068108,0.1545622,0.11484883,0.21618727,182.3898,-49.41794,4.2683134,3.7371953,0.38298666,2015.5116716264345,2015.406329102642,1991.4223612190278,1991.5245580276514,0.14911677,0.031918243,0.048215754,-0.0033481435,-0.0038803834,-5.178321e-05
26,32,15563,50.1226,8.4545,1.119,0.033,709,-236,473,-674,-1383,-1147,-532,-1241,-1005,K7V:,9.65,1.13,0.015,30.45,0.26,31.72,0.58,31.58,0.15,31.0463,0.0006,8.2,99,1,19.52,0.25,33.905,0.254,0.887,0.017,-508,30.5732,31.07,-497,11037726649058432,50.12263230820481,8.454476486593006,31.079435,0.37866047,b'Gaia_DR2',31.475653,0.041389078,226.32365,6.177788,0.11551447,0.10526515,0.33675635,226.36227,5.895786,0.05235146,0.041622348,0.3978451,229.23721,5.3571463,1.7650603,1.5556062,0.3502951,2015.5124654767594,2015.3861603030855,1991.2775578055412,1991.4778339596542,0.30688986,0.10628692,-0.0069055706,0.009836552,-0.0054768072,-0.0005822255
27,33,15720,50.6183,27.1558,1.003,0.08,636,-286,350,-645,-1281,-995,-516,-1152,-866,--,11.03,1.431,0.004,28.9,0.45,30.6,0.58,30.47,0.13,29.9547,0.0023,7.2,59,1,19.47,0.27,32.938,0.271,-9.616,0.082,-494,29.6048,29.98,-373,117654650480415744,50.61832553715862,27.155776228477507,30.000668,0.2655433,b'Gaia_DR2',31.501509,0.04250643,220.95326,-64.3746,0.13128997,0.11164316,0.31522155,220.93599,-64.42412,0.095326826,0.069578566,0.15096787,220.39333,-63.89721,3.2404401,2.5195665,0.12531865,2015.6063818888372,2015.4683149967545,1991.3114290169888,1991.3098067167462,0.23103963,-0.05601877,0.057842977,-0.007868833,-0.0056163166,3.8505354e-05
28,35,17766,57.0502,7.1463,1.0490000000000002,0.05,665,-243,422,-557,-1222,-980,-421,-1086,-843,M1,10.85,1.34,0.015,35.4,0.25,35.51,0.59,35.37,0.16,34.9527,0.0022,7.4,53,1,14.22,0.38,30.414,0.280,1.127,0.021,-411,34.5303,34.96,-432,3277270538903180160,57.050199842614,7.146271185631576,34.984142,0.24320398,b'Gaia_DR2',27.375698,0.044936664,175.59586,6.496385,0.13460968,0.111940496,0.34783635,175.51099,6.468241,0.07982014,0.047523934,0.009507897,175.29597,5.4893804,2.8944657,1.8203053,-0.11038144,2015.6322456884543,2015.3189260973866,1991.300434792023,1991.2822792513323,0.46070048,0.3397219,-0.052254777,-0.022898223,-0.004175514,-0.00037798888
29,36,18018,57.7637,23.9035,1.112,0.087,705,-229,476,-118,-823,-593,4,-701,-471,K7,10.17,1.16,0.04,35.3,0.12,34.67,0.59,34.55,0.15,34.5523,0.001,7.6,85,1,10.26,0.42,29.452,0.348,-9.288,0.111,-271,34.0768,34.28,-200,66482352830035840,57.76369953423537,23.903446147676586,34.156555,0.38504496,b'Gaia_DR2',24.464834,0.045255177,152.59885,-48.04336,0.19655791,0.10322859,0.19434312,152.57938,-48.149094,0.11848864,0.07218375,0.17112836,149.87947,-47.38802,3.586338,2.8904576,0.29286173,2015.539456840273,2015.3268373118692,1991.2183039084837,1991.1513354780768,0.17314564,-0.35354397,0.004059122,-0.03792331,-0.0033630247,0.00038932916
30,37,18322,58.7566,12.4855,1.129,0.055999999999999994,716,-236,480,-75,-791,-554,63,-652,-416,M0,10.12,1.07,0.015,37.18,0.22,36.32,0.59,36.18,0.16,36.2453,0.0008,8.1,89,1,7.37,0.45,28.505,0.318,-2.228,0.030,-118,35.7658,36.06,-298,38354680725946240,58.75658870047371,12.485542654269704,36.31598,0.2038665,b'Gaia_DR2',21.722248,0.04078364,131.22755,-10.229084,0.13690475,0.10019282,0.4277511,131.21939,-10.314933,0.065534264,0.035862237,0.15715107,128.66434,-10.211045,2.1234107,1.5343727,0.021648524,2015.6221267975038,2015.3305335056284,1991.2211250566086,1991.1852546029827,0.18632603,0.19966513,-0.052783865,-0.029839823,-0.002601866,-2.2993245e-05
31,38,18946,60.9132,19.4549,1.126,0.079,713,-236,478,-663,-1377,-1141,-535,-1249,-1013,K5,10.12,1.095,0.11900000000000001,36.93,0.26,36.76,0.59,36.63,0.15,36.0967,0.0008,7.8,107,1,5.20,0.19,27.761,0.353,-7.594,0.100,-50,35.6188,36.58,-963,50327297200978176,60.91322711618322,19.454871719493443,35.720737,0.36205742,b'Gaia_DR2',20.817186,0.0466179,121.84414,-33.264336,0.21009333,0.08701733,0.26004213,122.24529,-33.458534,0.081607565,0.05990164,0.13459055,119.74964,-34.34371,2.5511978,2.0090415,0.12448439,2015.5188408986744,2015.1968333721154,1991.1701121628194,1991.2214313045877,0.1344835,0.08569201,-0.0018418189,-0.060577888,-0.0023487103,0.00030213155
32,39,19082,61.3575,19.442,1.046,0.11800000000000001,663,-230,433,510,-153,77,637,-26,204,--,11.41,1.347,0.005,38.33,0.22,36.96,0.59,36.83,0.15,37.4701,0.0028,7.6,46,1,4.76,0.25,27.399,0.474,-7.328,0.131,-69,37.0375,36.76,274,50298125783225088,61.35752031085502,19.442013308504592,37.573433,0.2594881,b'Gaia_DR2',21.143917,0.05165282,122.063805,-32.656174,0.16301866,0.09155668,0.2744428,121.95265,-32.702103,0.123923115,0.08860404,0.116157405,120.53096,-29.158411,3.7682083,2.6741436,0.02715809,2015.5714947335669,2015.262987319557,1991.2653795132069,1991.3072557958053,0.09444321,0.06377097,0.0001640935,-0.06272749,-0.0024910949,0.00033041456
